dataset_name,group,gen_base_type,gen_imbalance_ratio,gen_n_classes,gen_n_features,gen_n_samples_test,gen_n_samples_train,gen_noise,gen_noise_scale,gen_noise_type,gen_outlier_frac,gen_overlap,gen_spatial_distortion,gen_subsampled_to,CV,HDB,HDB_mean_f1,HDB_std_f1,IR,attr_ent.mean,attr_ent.sd,c2,can_cor.mean,can_cor.sd,class_ent,cor.mean,cor.sd,cov.mean,cov.sd,eigenvalues.mean,eigenvalues.sd,eq_num_attr,f1.mean,f1.sd,f2.mean,f2.sd,f3.mean,f3.sd,f4.mean,f4.sd,joint_ent.mean,joint_ent.sd,lh_trace,lsc,mut_inf.mean,mut_inf.sd,n1,n2.mean,n2.sd,n3.mean,n3.sd,nr_attr,nr_class,nr_inst,pIR_cv,p_trace,roy_root,sd_ratio,t1,w_lambda
openml_335_monks-problems-3,real_openml,real_openml,1.0827,2,6,111,443,0.0,0.0,,0.0,0.0,False,443,0.03837471783295711,0.0,0.7224546980968499,0.0,1.07981220657277,1.4586363007160585,0.3898341983076637,0.002940907101934398,0.6734440628162198,,0.9989374690847929,0.024627410693667914,0.018731019109033176,0.024683128817409226,0.018773396980320562,1.0022624434389138,0.07502804489464521,10.244111511433744,0.9286136614569801,0.11404841100390362,1.0,,1.0,,1.0,,2.36006043563128,0.31223860357685823,0.8299162584729999,0.9916483650872107,0.09751333416957149,0.14875115067289355,0.435665914221219,0.3105440858446301,0.24698567585509662,0.23927765237020315,0.427124895233716,6.0,2.0,443.0,0.0,0.4535269057424166,0.8299162584729999,,0.4717832957110609,0.5464730942575834
openml_36_segment,real_openml,real_openml,1.0,7,19,462,1848,0.0,0.0,,0.0,0.0,False,1848,0.0,1.2253027700701153,46.43435759856774,56.89614699195136,1.0,3.0599499022552856,1.2462819541743486,-2.220446049250313e-16,0.7524652145764299,0.2574946442700306,2.8073549220576037,,,0.2462294692976196,0.31979475827438025,0.9478813438577466,1.770982930110834,3.2295645330582516,,,,,0.16125541125541126,0.2663785769194609,0.018578643578643576,0.08215117738814905,4.998037499470439,0.9717173373105177,54.80808272117982,0.950618487753228,0.8692673248424503,0.5785186952754593,0.0698051948051948,0.17874551225870147,0.14294069804730047,0.027597402597402596,0.16386065836163158,19.0,7.0,1848.0,0.0,3.728740854024064,32.98609239794823,,0.15584415584415584,8.86191780371992e-05
openml_375_JapaneseVowels,real_openml,real_openml,2.0639,9,14,1993,7968,0.0,0.0,,0.0,0.0,False,1996,0.23417040290853408,0.6540099834803165,4.106384426823641,2.685616411150758,2.0656,3.5786799620150274,0.02069673843322861,0.007908222767849749,0.6572610954030028,0.25363056114547766,3.1317535440813176,0.2352342613540552,0.16260321146932286,0.23648658128962696,0.16320051142168654,1.0065362595553797,1.0736378992841316,8.191032363240701,0.6903342775127067,0.18877782081627525,0.00467298657709952,0.004817127029079876,0.5186776150137605,0.24279394232372223,0.04172921524339294,0.09157852425297847,6.328094210486205,0.20258430725007331,14.661824070444366,0.9904337733583399,0.3823392956101409,0.21053837007673978,0.1402805611222445,0.3570949275522413,0.09337474763441539,0.059619238476953905,0.23683937073350972,14.0,9.0,1996.0,0.19513343591675628,3.90623641107163,5.512401579908292,,0.5345691382765531,0.0012296109994223159
openml_40701_churn,real_openml,real_openml,6.0721,2,20,1000,4000,0.0,0.0,,0.0,0.0,False,2000,0.717,0.0,0.18499382325525232,0.0,6.067137809187279,2.9540608116510563,1.0751445109516438,0.6790736872138956,0.4260463836234328,,0.5881537361455434,0.04376484118806989,0.15664353713883822,0.04320788562120995,0.1543341800966614,0.9908907169926614,0.715244790828441,37.81849763313912,0.9879608320312755,0.020725404122783005,0.09592977047424851,,0.988,,0.928,,3.5266625356079886,1.0784977109086136,0.22177026645644665,0.99155175,0.015552012188611204,0.019968611073451215,0.236,0.43852092663331793,0.061214395391382036,0.1565,0.363419574174874,20.0,2.0,2000.0,0.0,0.18151552099860524,0.22177026645644665,1.0169628575700933,0.672,0.8184844790013948
openml_40708_allrep,real_openml,real_openml,107.2941,4,29,755,3017,0.0,0.0,,0.0,0.0,False,1997,1.6562867120242533,0.5354125215249226,6.201708414307986,3.320472339866968,108.07407407407408,0.9468250029586498,1.324831758383759,0.956611783549236,0.302461594594321,0.18818878721557653,0.25116140396209546,,,0.07681785592514773,0.14154381734908006,0.9582531265763324,0.9128938183915414,20.403334845308812,,,,,0.2270312983256749,0.27735452631615143,0.013083838555536667,0.022741527695248752,1.1856765857142457,1.3120687581142443,0.4355664115589836,0.8564887892680282,0.012309821206499639,0.024376548517425586,0.04957436154231347,0.17961865043213257,0.12600675484648424,0.033049574361542315,0.17881082368638623,29.0,4.0,1997.0,1.0018502041903987,0.3452790878809572,0.3327537206666818,,0.07661492238357537,0.6795266281825527
openml_41143_jasmine,real_openml,real_openml,1.0,2,144,597,2387,0.0,0.0,,0.0,0.0,False,2387,0.00041893590280687055,0.0,0.7797740572842873,0.0,1.0008382229673094,0.6859207726363974,0.7691144042781208,3.5101451967278763e-07,0.6838961893072311,,0.9999998733982475,,,0.050690260491322844,0.10015893466922121,0.9934717565428003,1.3495922639033084,36.081581978819166,,,,,0.8856304985337243,,0.8709677419354839,,1.6582056784928871,0.7503693851178812,0.8786892681208602,0.9888600257398993,0.027714967541757833,0.05837603601175233,,,,,,144.0,2.0,2387.0,0.0,0.467713997748952,0.8786892681208602,,,0.532286002251048
openml_41719_FOREX_eurjpy-day-High,real_openml,real_openml,1.0424,2,11,367,1465,0.0,0.0,,0.0,0.0,False,1465,0.021160409556313993,0.0,0.016592460138223727,0.0,1.0432357043235705,3.1449309977749325,1.0430556111219533,0.0008951250613594697,,,0.9996769832104856,,,,,,,192.26913578330823,,,,,0.0,,0.0,,4.139408618232068,1.0413326513877696,,0.9984405176530886,0.005199362753349787,0.0024579618361791466,0.6491467576791808,0.4881828883970207,0.12014265921545511,0.44641638225255975,0.4972902570244449,11.0,2.0,1465.0,0.0,,,,0.7924914675767918,
openml_41725_FOREX_eurcad-day-High,real_openml,real_openml,1.0355,2,11,367,1467,0.0,0.0,,0.0,0.0,False,1467,0.017041581458759374,0.0,0.008455881176537703,0.0,1.0346740638002774,3.1449279695386205,1.0430546067747513,0.0005806623638811015,,,0.9997904993591157,,,,,,,268.62524950222667,,,,,0.0,,0.0,,4.140996590551557,1.0418203842470348,,0.9983453286550882,0.003721878346178431,0.0013790885341917033,0.634628493524199,0.4752307666469125,0.1160774490403672,0.41445126107702795,0.49279504168977734,11.0,2.0,1467.0,0.0,,,,0.7852760736196319,
openml_41746_FOREX_cadchf-day-High,real_openml,real_openml,1.0666,2,11,367,1464,0.0,0.0,,0.0,0.0,False,1464,0.03278688524590164,0.0,0.0015431551429120436,0.0,1.0677966101694916,3.4594174825307746,3.869458543413735e-06,0.0021476510067114374,0.3818913809726528,,0.9992244269658094,0.6719282554075577,0.42628031539385186,0.6723875365117327,0.42657168949870083,1.0006835269993162,2.6340766465049295,242.55241847929992,0.9997890025798768,0.00024815491656432536,0.7481837742048281,,0.994535519125683,,0.9528688524590164,,4.454522286887871,0.0020666529387770994,0.1707422522592885,0.9985844232434531,0.004119622608714932,0.0020651242948914322,0.6687158469945356,0.49441064555033903,0.11281819205658632,0.4726775956284153,0.49942352538387724,11.0,2.0,1464.0,0.0,0.14584102686119985,0.1707422522592885,,0.8333333333333334,0.8541589731388002
openml_41750_FOREX_eurhuf-day-Close,real_openml,real_openml,1.0265,2,11,367,1467,0.0,0.0,,0.0,0.0,False,1467,0.012951601908657124,0.0,0.012109183983858738,0.0,1.026243093922652,3.4594195560149923,4.9718502399112594e-06,0.0003354317173452914,0.14607513195011393,,0.9998789949041892,0.7782742531365388,0.2585387801961598,0.778805135983153,0.2587151367992949,1.000682128240109,2.71933702873865,140.74758889935418,0.9958181663476197,0.0021895767005531267,0.42174975529621317,,0.9965916837082481,,0.9713701431492843,,4.452194493203357,0.0016418859713989917,0.021803179194721176,0.9986687353543464,0.007104057715824765,0.001640023547970835,0.7034764826175869,0.5022520935216302,0.10026587110636194,0.49829584185412407,0.5001675978350006,11.0,2.0,1467.0,0.0,0.021337944174243194,0.021803179194721176,,0.880027266530334,0.9786620558257568
openml_41763_FOREX_audcad-hour-High,real_openml,real_openml,1.0605,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.029378208784940102,0.0,0.0009540782689473442,0.0,1.060534822215692,3.259047134954443,1.080903652090037,0.0017407254239424352,,,0.9993715278320969,,,,,,,130.80262648800553,,,,,0.0,,0.0,,4.25077836109945,1.0783707224086454,,0.9989056559295155,0.007640301687089886,0.0029536696013692646,0.6618309154577289,,,0.45822911455727866,0.4983768102327235,11.0,2.0,1999.0,0.0,,,,0.7858929464732366,
openml_41768_FOREX_eurnok-hour-High,real_openml,real_openml,1.1093,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.0517969195664575,0.0,0.003352085536809743,0.0,1.1092527974972928,3.259049108771839,1.0809043067263628,0.005295748775149156,,,0.9980840431029073,,,,,,,475.58882602239134,,,,,0.0,,0.0,,4.255034523840421,1.0802089570217246,,0.9990030032525017,0.0020986280343262653,0.0014014125630955156,0.7263631815907954,0.5049817520473275,0.14863165883371338,0.5202601300650325,0.4997143652257718,11.0,2.0,1999.0,0.0,,,,0.7728864432216108,
openml_41782_FOREX_usdjpy-hour-Close,real_openml,real_openml,1.042,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.02053622361665716,0.0,0.0002261754255675547,0.0,1.0419336051252184,3.259048708824052,1.0809041740804144,0.0008409873521705302,,,0.999696529051755,,,,,,,266.2088829256183,,,,,0.0,,0.0,,4.2549899291946485,1.079659125983106,,0.9990060062547532,0.003755308681157275,0.0015831068169527918,0.7113556778389195,0.5000140871064824,0.15007267525827986,0.5077538769384692,0.5000649682052853,11.0,2.0,1999.0,0.0,,,,0.7773886943471736,
openml_41783_FOREX_eurdkk-day-Close,real_openml,real_openml,1.0864,2,11,368,1468,0.0,0.0,,0.0,0.0,False,1468,0.04087193460490463,0.0,0.005119814761994744,0.0,1.0852272727272727,3.144903281129534,1.043046419048206,0.0033354581437062825,,,0.9987946423936424,,,,,,,268.88013843183336,,,,,0.0,,0.0,,4.139983277107793,1.0418163951075892,,0.998630177668555,0.003714646415383549,0.0023845899671962752,0.7043596730245232,0.50057656852986,0.08009275909756111,0.494550408719346,0.5001406777351701,11.0,2.0,1468.0,0.0,,,,0.9134877384196185,
openml_41788_FOREX_audnzd-day-High,real_openml,real_openml,1.2099,2,11,367,1465,0.0,0.0,,0.0,0.0,False,1465,0.09488054607508532,0.0,0.005313976000114508,0.0,1.209653092006033,3.144932344027907,1.0430560576193473,0.017843998695940777,,,0.9934964217522781,,,,,,,171.26784742736774,,,,,0.0,,0.0,,4.132627931375621,1.0411332084633655,,0.9984554275530292,0.005800834404563915,0.002433798732102596,0.6457337883959045,0.48835835177828907,0.11514783669424007,0.43890784982935155,0.4964231711586411,11.0,2.0,1465.0,0.0,,,,0.8,
openml_41806_FOREX_audjpy-hour-Close,real_openml,real_openml,1.0278,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.013690815744438107,0.0,0.00043543838748764214,0.0,1.0277617119722382,3.2590443800059017,1.0809027383909349,0.00036479822254686933,,,0.9998683988485927,,,,,,,203.051962460983,,,,,0.0,,0.0,,4.253988579222388,1.079269975210516,,0.9989862364899308,0.0049241996321051085,0.0018813937749958363,0.7028514257128564,0.49454978533773825,0.1352801902040345,0.4817408704352176,0.49979151898355634,11.0,2.0,1999.0,0.0,,,,0.7823911955977989,
openml_41816_FOREX_usddkk-hour-High,real_openml,real_openml,1.1358,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.06360524814603537,0.0,0.004298256968583159,0.0,1.1358513554675602,3.259050677936124,1.080904827147539,0.008040118341130609,,,0.9970864738043419,,,,,,,246.72542169966874,,,,,0.0,,0.0,,4.252095871896113,1.0795650480150392,,0.9989909912434957,0.0040412798443529045,0.0017330049545842834,0.7088544272136068,0.4941340995151563,0.1433066983631355,0.47723861930965483,0.4996066306352122,11.0,2.0,1999.0,0.0,,,,0.7718859429714857,
openml_41862_FOREX_eurrub-hour-Close,real_openml,real_openml,2.2485,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.384312606959498,0.0,0.1974882157583769,0.0,2.2484017418697304,3.445901469067209,0.30936755494121415,0.25782181567532725,0.33508142436605143,,0.8904466155797516,0.7193639603062298,0.3613455498528165,0.7264502177418999,0.3623271673095297,1.0146956132431535,2.6877190713626917,24.048512396639236,0.9849674537022693,0.027752060609343272,0.23878129718903804,,0.992496248124062,,0.9664832416208105,,4.299320987049682,0.3649228290015096,0.1264807658095537,0.9969789797349901,0.03702709759727969,0.055570473072043866,0.5032516258129065,0.38687136741141176,0.25205337036239456,0.35967983991996,0.4800265857969183,11.0,2.0,1999.0,0.0,0.11227956095518184,0.1264807658095537,,0.5317658829414708,0.8877204390448181
openml_41882_FOREX_audjpy-day-High,real_openml,real_openml,1.0561,2,11,367,1465,0.0,0.0,,0.0,0.0,False,1465,0.026621160409556314,0.0,0.01831749559032613,0.0,1.0546984572230014,3.459424232177723,2.995223781400528e-06,0.001416368602246143,0.4875079667203353,,0.9994887305819137,0.6433736526770907,0.3815995861413396,0.6438131155546026,0.3818602415963542,1.0006830601092906,2.4767468263371715,214.26954171059822,0.9977384985298375,0.003628176495983081,0.3641269413015018,,0.9959044368600682,,0.9631399317406143,,4.454248329967675,0.004483360420904242,0.3117575755410387,0.998549080362031,0.004664632791961942,0.004484382434907795,0.6559726962457337,0.4890646044697708,0.11176275782484345,0.4668941979522184,0.4990731632418495,11.0,2.0,1465.0,0.0,0.23766401761579556,0.3117575755410387,,0.8129692832764505,0.7623359823842044
openml_41885_FOREX_chfsgd-hour-Close,real_openml,real_openml,1.0339,2,11,8765,35060,0.0,0.0,,0.0,0.0,False,1999,0.01665715915573303,0.0,0.00032247611807058074,0.0,1.0338786402134819,3.5849534161372585,5.5896940590280476e-06,0.0005448964121397282,0.13258464272016174,,0.9998034076734363,0.6365423165818787,0.39763191981675855,0.6317133283770275,0.39338669901070344,0.9937961105286877,2.4619265972990427,181.6690637958203,0.9982368824130027,0.0007631649151620285,0.46123054590171725,,0.9969984992496248,,0.9754877438719359,,4.579253391433253,0.0011853228699148252,0.01789322692952949,0.9989759762322382,0.005503432377441684,0.0011855485431103623,0.7058529264632316,0.4926532333040865,0.14158880098904136,0.4927463731865933,0.5000724784361683,11.0,2.0,1999.0,0.0,0.017578687485232936,0.01789322692952949,,0.7933966983491746,0.982421312514767
openml_42345_Traffic_violations,real_openml,real_openml,9.8066,3,20,14068,56272,0.0,0.0,,0.0,0.0,False,1998,0.6023043760031939,0.715843181826346,2.519954742119479,1.8038924206571971,9.806060606060607,1.4576382759585504,1.4498096121889397,0.19610486867486454,0.3870446051965698,0.18379522995955444,1.2343556480042084,0.047288383136765644,0.08500941591663898,0.04387974380629891,0.08937883025763448,0.9522722204857326,0.502836375231862,34.76786392662054,0.981751808583019,0.041777461674486725,0.23012503936000347,0.3985882602653137,0.33192908548358785,0.5749180405674473,0.32947165174653326,0.5706616404786348,2.656491149026416,1.4092829459919287,0.4355771115072181,0.9987823158493829,0.03550277493634302,0.09022802642477443,0.6216216216216216,0.48291878850611203,0.09729462793945948,0.4269269269269269,0.49475533339778566,20.0,3.0,1998.0,0.596346594211942,0.3333877393794227,0.36480894352159704,,0.8503503503503503,0.6842781748713433
openml_43900_amazon_employee_access,real_openml,real_openml,16.2741,2,9,6554,26215,0.0,0.0,,0.0,0.0,False,1999,0.884188441731833,0.0,0.027443085002112774,0.0,16.26943346508564,3.1821948859788725,0.5960397069712918,0.8783724953202378,0.12016484372671056,,0.3175559042538389,0.11908511002838562,0.1467457530094903,0.11596610507027472,0.13996968185432268,0.986086624137427,0.5423086461782703,60.6071005523681,0.9982871625476891,0.002775757254471247,0.4937453373861308,,0.9649824912456229,,0.8649324662331166,,3.4945112077191167,0.5968069200356182,0.014651146207261519,0.9900665690524102,0.0052395825135942925,0.002250745198525322,0.14907453726863432,0.31818855722840883,0.16167098118463033,0.10105052526263132,0.30147102966985806,9.0,2.0,1999.0,0.0,0.01443958966786477,0.014651146207261519,1.0044562366189262,0.2031015507753877,0.9855604103321353
openml_43901_click_prediction_small,real_openml,real_openml,4.937,2,8,7986,31940,0.0,0.0,,0.0,0.0,False,1999,0.6631183469004384,0.0,0.0689184531480901,0.0,4.936802973977695,2.637099201094544,1.2266610675683356,0.6117597400003127,0.17087902899235338,,0.6533030549585386,0.05023594537663133,0.09991187912113351,0.045825559399305514,0.10166690766707302,0.8821960930231869,0.4632471605514984,102.44696983712221,0.995118667726774,0.008192255354180939,0.29685038492913773,,0.9819909954977488,,0.9684842421210605,,3.2840252684662636,1.2295027034115473,0.03007790667285007,0.9966914422694089,0.0063769875868189,0.005734600920047008,0.3726863431715858,,,0.2496248124062031,0.43290416412870447,8.0,2.0,1999.0,0.0,0.029199642549369548,0.03007790667285007,1.0553211139915892,0.45522761380690346,0.9708003574506304
openml_43904_law-school-admission-bianry,real_openml,real_openml,2.1073,2,10,4160,16640,0.0,0.0,,0.0,0.0,False,1999,0.3563701923076923,0.0,0.07579996583673877,0.0,2.107376283846872,1.950436633953871,1.239460529476563,0.22572257607612156,0.3278659476256003,,0.9061784134305944,0.12618528529867082,0.15660083117731072,0.12719195221043353,0.15646522023222287,1.0111937921738836,0.6354096861119679,47.83829735842132,0.982768698424336,0.01333238260689964,0.7722007722007722,,0.9989994997498749,,0.9984992496248124,,2.8376725167454424,1.2354741885085707,0.12044325762261417,0.998100350825738,0.018942530639023115,0.010875502020681901,0.5397698849424712,0.4465669822672043,0.17385062498393014,0.384192096048024,0.4865253765833991,10.0,2.0,1999.0,0.0,0.10749607961243286,0.12044325762261417,,0.599799899949975,0.8925039203875671
openml_43941_anneal,real_openml,real_openml,1.1796,2,38,180,718,0.0,0.0,,0.0,0.0,False,718,0.08356545961002786,0.0,1.386262005300562,0.0,1.182370820668693,0.5665795589058081,0.7068970248294811,0.013869518650649892,0.7334091449237807,,0.9949568168891751,,,0.06328325210057496,0.09846588676803043,0.8169272553769381,0.8214966287006148,20.571394866638887,,,,,0.46518105849582175,,0.0,,1.5131703401741945,0.6648283556013372,1.1639821242706059,0.9834459695377906,0.04836603562078914,0.15327107623287317,0.2075208913649025,0.23863220704572533,0.19843020590886443,0.09610027855153204,0.29493417174414505,38.0,2.0,718.0,0.0,0.5378889738578312,1.1639821242706059,,0.2590529247910863,0.4621110261421688
