dataset,best_method
openml_45020_default-of-credit-card-clients,BorderlineSMOTE
openml_45462_timing-attack-dataset-16-micro,distance_SMOTE
openml_45495_timing-attack-dataset-15-micro,KMeansSMOTE
openml_45496_timing-attack-dataset-20-micro,cluster_SMOTE
openml_45504_timing-attack-dataset-20-micro,KMeansSMOTE
openml_45505_timing-attack-dataset-20-micro,BorderlineSMOTE
openml_45516_timing-attack-dataset-30-micro,CBSO
openml_45545_Tour-and-Travels-Customer-Chur,CBSO
openml_45558_Pulsar-Dataset-HTRU2,DBSMOTE
openml_45707_cylinder-bands,DBSMOTE
openml_46184_Flare,RandomOverSampler
openml_46334_glass_clean,MWMOTE
openml_46459_Credit_Score_Classification_do,RandomOverSampler
openml_46630_Skin_Cancer_PAD-UFES-20,RandomOverSampler
openml_46761_mental_health_detection,CBSO
openml_46826_SOCC,distance_SMOTE
openml_46913_blood-transfusion-service-cent,SMOTEENN
openml_46915_churn,DBSMOTE
openml_46935_HR_Analytics_Job_Change_of_Dat,SMOTEENN
openml_46948_PhishingWebsites,cluster_SMOTE
openml_46951_Pumpkin_Seeds,MWMOTE
openml_46_splice,distance_SMOTE
openml_47046_Accidents_Prediction_Dataset,ADASYN
openml_47049_Accidents_Prediction_Dataset,ADASYN
openml_47051_Accidents_Prediction_Dataset_P,ADASYN
openml_47151_aztrees3,SMOTE
openml_50_tic-tac-toe,RandomOverSampler
openml_730_fri_c1_250_5,AHC
openml_807_kin8nm,MWMOTE
openml_838_fri_c4_500_25,BorderlineSMOTE
openml_853_boston,distance_SMOTE
openml_939_chscase_whale,RandomOverSampler
openml_970_analcatdata_authorship,BorderlineSMOTE
openml_981_kdd_internet_usage,RandomOverSampler
openml_983_cmc,SMOTETomek
pmlb_adult,SMOTEENN
pmlb_allhypo,SMOTETomek
pmlb_allrep,SMOTEENN
pmlb_analcatdata_authorship,SVMSMOTE
pmlb_analcatdata_lawsuit,RandomOverSampler
pmlb_ann_thyroid,RandomOverSampler
pmlb_balance_scale,SMOTEENN
pmlb_biomed,distance_SMOTE
pmlb_breast_cancer,RandomOverSampler
pmlb_calendarDOW,SVMSMOTE
pmlb_car_evaluation,BorderlineSMOTE
pmlb_cars,DBSMOTE
pmlb_churn,SVMSMOTE
pmlb_clean1,RandomOverSampler
pmlb_clean2,RandomOverSampler
pmlb_coil2000,SMOTEENN
pmlb_collins,SMOTE
pmlb_connect_4,SMOTEENN
pmlb_dermatology,BorderlineSMOTE
pmlb_dis,KMeansSMOTE
pmlb_dna,ADASYN
pmlb_ecoli,MWMOTE
pmlb_haberman,SMOTEENN
pmlb_hypothyroid,cluster_SMOTE
pmlb_ionosphere,SMOTEENN
pmlb_irish,RandomOverSampler
pmlb_magic,cluster_SMOTE
pmlb_mofn_3_7_10,RandomOverSampler
pmlb_monk2,DBSMOTE
pmlb_new_thyroid,AHC
pmlb_nursery,RandomOverSampler
pmlb_page_blocks,SMOTEENN
pmlb_penguins,RandomOverSampler
pmlb_phoneme,RandomOverSampler
pmlb_profb,ADASYN
pmlb_saheart,KMeansSMOTE
pmlb_satimage,MWMOTE
pmlb_schizo,SMOTETomek
pmlb_spambase,BorderlineSMOTE
pmlb_spect,RandomOverSampler
pmlb_spectf,RandomOverSampler
pmlb_splice,BorderlineSMOTE
pmlb_tic_tac_toe,RandomOverSampler
pmlb_tokyo1,CBSO
pmlb_wine_quality_red,BorderlineSMOTE
pmlb_xd6,RandomOverSampler
pmlb_yeast,SMOTE
